title,author,average_rating,ratings_count,reviews_count,book_url,rating_to_review_ratio
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1332441,159892.91999999998,https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters,8.333281215445842
The Adventures of Huckleberry Finn,Mark Twain,3.83,1324990,158998.8,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,8.33328092236594
Never Lie,Freida McFadden,4.08,1311808,157416.96,https://www.goodreads.com/book/show/62080187-never-lie,8.333280395705803
"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,4.62,1310963,157315.56,https://www.goodreads.com/book/show/18006496-queen-of-shadows,8.333280361584311
Circe,Madeline Miller,4.22,1302298,156275.75999999998,https://www.goodreads.com/book/show/35959740-circe,8.333280009132517
The Old Man and the Sea,Ernest Hemingway,3.81,1280749,153689.88,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,8.333279111942101
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,1277219,153266.28,https://www.goodreads.com/book/show/9969571-ready-player-one,8.333278962085059
Sense and Sensibility,Jane Austen,4.09,1276320,153158.4,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility,8.333278923787898
The Secret Garden,Frances Hodgson Burnett,4.17,1273750,152850.0,https://www.goodreads.com/book/show/2998.The_Secret_Garden,8.333278814008413
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.97,1268987,152278.44,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,8.333278609377603
My Sister's Keeper,Jodi Picoult,4.11,1267366,152083.91999999998,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,8.333278539384445
The Martian,Andy Weir,4.42,1254593,150551.16,https://www.goodreads.com/book/show/18007564-the-martian,8.33327798153145
Gone with the Wind,Margaret Mitchell,4.31,1248835,149860.19999999998,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,8.333277726322759
Eleanor & Park,Rainbow Rowell,3.93,1246553,149586.36,https://www.goodreads.com/book/show/15745753-eleanor-park,8.333277624526565
It,Stephen        King,4.24,1239071,148688.52,https://www.goodreads.com/book/show/830502.It,8.333277288137053
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.34,1219438,146332.56,https://www.goodreads.com/book/show/23692271-sapiens,8.333276385813344
The Giving Tree,Shel Silverstein,4.38,1217949,146153.88,https://www.goodreads.com/book/show/370493.The_Giving_Tree,8.333276316192794
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,1196779,143613.47999999998,https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth,8.333275307615223
Sharp Objects,Gillian Flynn,4.01,1193966,143275.91999999998,https://www.goodreads.com/book/show/18045891-sharp-objects,8.333275170906802
"Red, White & Royal Blue",Casey McQuiston,4.05,1192774,143132.88,https://www.goodreads.com/book/show/41150487-red-white-royal-blue,8.333275112782522
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37,1190421,142850.52,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse,8.33327499770391
A Man Called Ove,Fredrik Backman,4.38,1180418,141650.16,https://www.goodreads.com/book/show/18774964-a-man-called-ove,8.333274503364462
"Wonder (Wonder, #1)",R.J. Palacio,4.36,1177876,141345.12,https://www.goodreads.com/book/show/11387515-wonder,8.333274376403116
The Bell Jar,Sylvia Plath,4.05,1176946,141233.52,https://www.goodreads.com/book/show/6514.The_Bell_Jar,8.333274329816819
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.84,1175010,141001.19999999998,https://www.goodreads.com/book/show/10429045-shatter-me,8.333274232600628
Into the Wild,Jon Krakauer,4.02,1174504,140940.47999999998,https://www.goodreads.com/book/show/1845.Into_the_Wild,8.33327420713902
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,4.2,1169052,140286.24,https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie,8.333273931399606
The Odyssey,Homer,3.83,1167493,140099.16,https://www.goodreads.com/book/show/1381.The_Odyssey,8.333273852078399
"Red Queen (Red Queen, #1)",Victoria Aveyard,3.98,1143712,137245.44,https://www.goodreads.com/book/show/22328546-red-queen,8.333272615304265
"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,4.63,1142795,137135.4,https://www.goodreads.com/book/show/28260587-empire-of-storms,8.333272566583343
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,1138753,136650.36,https://www.goodreads.com/book/show/10964.Outlander,8.333272350893544
"Allegiant (Divergent, #3)",Veronica Roth,3.6,1128995,135479.4,https://www.goodreads.com/book/show/18710190-allegiant,8.333271823821011
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,1125419,135050.28,https://www.goodreads.com/book/show/4556058-the-last-olympian,8.333271628377014
How to Win Friends & Influence People,Dale Carnegie,4.22,1123282,134793.84,https://www.goodreads.com/book/show/4865.How_to_Win_Friends_Influence_People,8.333271510986622
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.46,1119934,134392.08,https://www.goodreads.com/book/show/23437156-six-of-crows,8.333271326172449
"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,3.83,1117035,134044.19999999998,https://www.goodreads.com/book/show/54981009-the-last-thing-he-told-me,8.333271165248737
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,3.99,1108802,133056.24,https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes,8.33327070364604
Big Little Lies,Liane Moriarty,4.31,1099601,131952.12,https://www.goodreads.com/book/show/33516773-big-little-lies,8.333270179591056
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.5,1097333,131679.96,https://www.goodreads.com/book/show/222910.The_Two_Towers,8.33327004906404
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,1090286,130834.31999999999,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,8.333269640032983
Matilda,Roald Dahl,4.33,1086441,130372.92,https://www.goodreads.com/book/show/39988.Matilda,8.33326941461912
"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,4.2,1084298,130115.76,https://www.goodreads.com/book/show/18243700-the-assassin-s-blade,8.333269288291532
One Hundred Years of Solitude,Gabriel García Márquez,4.12,1081737,129808.44,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,8.333269136666793
"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,3.92,1078667,129440.04,https://www.goodreads.com/book/show/10194157-shadow-and-bone,8.333268953957726
The Night Circus,Erin Morgenstern,4.0,1077879,129345.48,https://www.goodreads.com/book/show/9361589-the-night-circus,8.333268906892558
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,1061165,127339.79999999999,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,8.333267892144546
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,4.45,1057718,126926.15999999999,https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood,8.33326767887976
Where the Wild Things Are,Maurice Sendak,4.25,1048212,125785.44,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,8.333267083478951
"The Host (The Host, #1)",Stephenie Meyer,3.86,1043061,125167.31999999999,https://www.goodreads.com/book/show/1656001.The_Host,8.333266756316615
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.13,1042744,125129.28,https://www.goodreads.com/book/show/40604658-jurassic-park,8.333266736076991
Crime and Punishment,Fyodor Dostoevsky,4.28,1042309,125077.08,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,8.333266708283338
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,4.04,1032994,123959.28,https://www.goodreads.com/book/show/15749186-to-all-the-boys-i-ve-loved-before,8.333266107498305
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,3.91,1029795,123575.4,https://www.goodreads.com/book/show/58679358-one-of-us-is-lying,8.333265898666737
"The Wicked King (The Folk of the Air, #2)",Holly Black,4.27,1029195,123503.4,https://www.goodreads.com/book/show/26032887-the-wicked-king,8.333265859353999
Hamlet,William Shakespeare,4.03,1028715,123445.79999999999,https://www.goodreads.com/book/show/1420.Hamlet,8.333265827870791
None of This Is True,Lisa Jewell,4.08,1027760,123331.2,https://www.goodreads.com/book/show/62334530-none-of-this-is-true,8.33326576514487
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,4.13,1027256,123270.72,https://www.goodreads.com/book/show/52439531-the-inheritance-games,8.333265731994329
The Goldfinch,Donna Tartt,3.96,1020657,122478.84,https://www.goodreads.com/book/show/17333223-the-goldfinch,8.33326529492527
Thirteen Reasons Why,Jay Asher,3.84,1017628,122115.36,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why,8.333265092408585
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,3.81,1016378,121965.36,https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary,8.333265008482666
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.58,1016152,121938.23999999999,https://www.goodreads.com/book/show/838729.The_Return_of_the_King,8.333264993286821
The Road,Cormac McCarthy,4.0,1012658,121518.95999999999,https://www.goodreads.com/book/show/6288.The_Road,8.333264757493337
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.27,1007315,120877.79999999999,https://www.goodreads.com/book/show/3777732-city-of-glass,8.33326439375639
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,1007013,120841.56,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,8.333264373081802
The Adventures of Tom Sawyer,Mark Twain,3.92,1004035,120484.2,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer,8.333264168545183
The Count of Monte Cristo,Alexandre Dumas,4.32,1002176,120261.12,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo,8.333264040248086
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,4.71,1001775,120213.0,https://www.goodreads.com/book/show/33590260-kingdom-of-ash,8.333264012511021
